T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss
18.01134000 0.00000000 0.00000000 18.00000000 0.00000000 0.00000000 686.8900000000 1013.3860000000 115.2138000000 37 2024-01-10 20:48:07
18.50818000 0.00000000 0.00000000 18.50000000 0.00000000 0.00000000 673.0720000000 989.5460000000 114.1306000000 38 2024-01-10 20:49:13
19.00660000 0.00000000 0.00000000 19.00000000 0.00000000 0.00000000 659.6940000000 966.0540000000 113.0428000000 39 2024-01-10 20:50:11
19.51094000 0.00000000 0.00000000 19.50000000 0.00000000 0.00000000 646.9160000000 944.0040000000 112.0104000000 40 2024-01-10 20:51:16
19.98288000 0.00000000 0.00000000 20.00000000 0.00000000 0.00000000 635.3020000000 924.0040000000 111.0520000000 41 2024-01-10 20:52:11
21.02510000 0.00000000 0.00000000 21.00000000 0.00000000 0.00000000 611.5400000000 883.3520000000 109.0700000000 42 2024-01-10 20:53:28
22.01738000 0.00000000 0.00000000 22.00000000 0.00000000 0.00000000 590.8780000000 848.2500000000 107.2966000000 43 2024-01-10 20:54:45
23.00982000 0.00000000 0.00000000 23.00000000 0.00000000 0.00000000 571.4240000000 815.7080000000 105.6056000000 44 2024-01-10 20:55:50
24.02542000 0.00000000 0.00000000 24.00000000 0.00000000 0.00000000 553.0500000000 785.0140000000 103.9630000000 45 2024-01-10 20:56:55
25.01108000 0.00000000 0.00000000 25.00000000 0.00000000 0.00000000 536.5040000000 757.6780000000 102.4564000000 46 2024-01-10 20:58:48
26.02672000 0.00000000 0.00000000 26.00000000 0.00000000 0.00000000 520.3760000000 731.1620000000 100.9544000000 47 2024-01-10 21:00:44
27.01822000 0.00000000 0.00000000 27.00000000 0.00000000 0.00000000 505.8200000000 707.4700000000 99.5766000000 48 2024-01-10 21:02:56
28.01984000 0.00000000 0.00000000 28.00000000 0.00000000 0.00000000 491.9120000000 684.9700000000 98.2348000000 49 2024-01-10 21:04:03
28.99692000 0.00000000 0.00000000 29.00000000 0.00000000 0.00000000 479.0580000000 664.1340000000 96.9570000000 50 2024-01-10 21:08:13
30.01872000 0.00000000 0.00000000 30.00000000 0.00000000 0.00000000 466.5500000000 644.1540000000 95.7026000000 51 2024-01-10 21:11:10
31.00618000 0.00000000 0.00000000 31.00000000 0.00000000 0.00000000 454.9040000000 625.6760000000 94.5140000000 52 2024-01-10 21:14:29
32.01602000 0.00000000 0.00000000 32.00000000 0.00000000 0.00000000 443.8500000000 608.2700000000 93.3700000000 53 2024-01-10 21:17:33
33.01898000 0.00000000 0.00000000 33.00000000 0.00000000 0.00000000 433.1500000000 591.5080000000 92.2412000000 54 2024-01-10 21:20:36
34.02036000 0.00000000 0.00000000 34.00000000 0.00000000 0.00000000 423.4020000000 576.3260000000 91.1976000000 55 2024-01-10 21:24:07
35.01270000 0.00000000 0.00000000 35.00000000 0.00000000 0.00000000 413.9620000000 561.7000000000 90.1706000000 56 2024-01-10 21:27:28
36.01292000 0.00000000 0.00000000 36.00000000 0.00000000 0.00000000 404.6640000000 547.3440000000 89.1418000000 57 2024-01-10 21:30:37
37.01068000 0.00000000 0.00000000 37.00000000 0.00000000 0.00000000 396.2300000000 534.4320000000 88.1962000000 58 2024-01-10 21:33:59
38.00044000 0.00000000 0.00000000 38.00000000 0.00000000 0.00000000 388.0420000000 521.9440000000 87.2674000000 59 2024-01-10 21:37:05
39.01900000 0.00000000 0.00000000 39.00000000 0.00000000 0.00000000 379.7960000000 509.4060000000 86.3130000000 60 2024-01-10 21:40:30
40.00298000 0.00000000 0.00000000 40.00000000 0.00000000 0.00000000 372.5100000000 498.4120000000 85.4612000000 61 2024-01-10 21:44:00
41.01130000 0.00000000 0.00000000 41.00000000 0.00000000 0.00000000 365.1900000000 487.3900000000 84.5942000000 62 2024-01-10 21:46:30
42.00960000 0.00000000 0.00000000 42.00000000 0.00000000 0.00000000 358.0900000000 476.7220000000 83.7406000000 63 2024-01-10 21:50:01
43.00942000 0.00000000 0.00000000 43.00000000 0.00000000 0.00000000 351.5300000000 466.9400000000 82.9408000000 64 2024-01-10 21:53:51
44.01646000 0.00000000 0.00000000 44.00000000 0.00000000 0.00000000 345.0500000000 457.3060000000 82.1432000000 65 2024-01-10 21:56:56
44.99688000 0.00000000 0.00000000 45.00000000 0.00000000 0.00000000 338.8500000000 448.1260000000 81.3688000000 66 2024-01-10 22:00:48
46.00852000 0.00000000 0.00000000 46.00000000 0.00000000 0.00000000 332.9400000000 439.4060000000 80.6260000000 67 2024-01-10 22:04:17
47.00226000 0.00000000 0.00000000 47.00000000 0.00000000 0.00000000 327.2400000000 431.0140000000 79.8948000000 68 2024-01-10 22:08:02
48.01438000 0.00000000 0.00000000 48.00000000 0.00000000 0.00000000 321.5380000000 422.6500000000 79.1586000000 69 2024-01-10 22:11:55
49.01442000 0.00000000 0.00000000 49.00000000 0.00000000 0.00000000 316.2400000000 414.9300000000 78.4688000000 70 2024-01-10 22:15:37
50.01586000 0.00000000 0.00000000 50.00000000 0.00000000 0.00000000 311.0340000000 407.3320000000 77.7804000000 71 2024-01-10 22:19:14
51.01358000 0.00000000 0.00000000 51.00000000 0.00000000 0.00000000 306.2260000000 400.3600000000 77.1402000000 72 2024-01-10 22:22:48
52.00858000 0.00000000 0.00000000 52.00000000 0.00000000 0.00000000 301.5000000000 393.5280000000 76.5056000000 73 2024-01-10 22:26:12
53.00048000 0.00000000 0.00000000 53.00000000 0.00000000 0.00000000 296.8700000000 386.8380000000 75.8756000000 74 2024-01-10 22:30:08
54.01106000 0.00000000 0.00000000 54.00000000 0.00000000 0.00000000 292.2200000000 380.1480000000 75.2382000000 75 2024-01-10 22:34:07
55.00604000 0.00000000 0.00000000 55.00000000 0.00000000 0.00000000 287.7200000000 373.6880000000 74.6136000000 76 2024-01-10 22:38:03
56.01326000 0.00000000 0.00000000 56.00000000 0.00000000 0.00000000 283.5900000000 367.7680000000 74.0352000000 77 2024-01-10 22:41:55
57.01004000 0.00000000 0.00000000 57.00000000 0.00000000 0.00000000 279.5600000000 362.0060000000 73.4670000000 78 2024-01-10 22:45:35
58.01546000 0.00000000 0.00000000 58.00000000 0.00000000 0.00000000 275.5500000000 356.3100000000 72.8972000000 79 2024-01-10 22:49:21
59.01646000 0.00000000 0.00000000 59.00000000 0.00000000 0.00000000 271.6200000000 350.7320000000 72.3328000000 80 2024-01-10 22:52:49
60.01998000 0.00000000 0.00000000 60.00000000 0.00000000 0.00000000 267.7400000000 345.2040000000 71.7692000000 81 2024-01-10 22:56:34
61.01148000 0.00000000 0.00000000 61.00000000 0.00000000 0.00000000 264.2220000000 340.2360000000 71.2564000000 82 2024-01-10 23:00:11
62.01112000 0.00000000 0.00000000 62.00000000 0.00000000 0.00000000 260.7300000000 335.3100000000 70.7422000000 83 2024-01-10 23:03:43
63.00266000 0.00000000 0.00000000 63.00000000 0.00000000 0.00000000 257.3040000000 330.5000000000 70.2358000000 84 2024-01-10 23:07:49
64.00708000 0.00000000 0.00000000 64.00000000 0.00000000 0.00000000 253.8800000000 325.6840000000 69.7232000000 85 2024-01-10 23:11:32
65.02698000 0.00000000 0.00000000 65.00000000 0.00000000 0.00000000 250.4600000000 320.8960000000 69.2084000000 86 2024-01-10 23:15:06
66.00820000 0.00000000 0.00000000 66.00000000 0.00000000 0.00000000 247.4200000000 316.6460000000 68.7478000000 87 2024-01-10 23:18:37
67.01382000 0.00000000 0.00000000 67.00000000 0.00000000 0.00000000 244.3500000000 312.3460000000 68.2768000000 88 2024-01-10 23:22:08
68.01826000 0.00000000 0.00000000 68.00000000 0.00000000 0.00000000 241.3180000000 308.1140000000 67.8096000000 89 2024-01-10 23:25:51
69.01486000 0.00000000 0.00000000 69.00000000 0.00000000 0.00000000 238.3450000000 303.9960000000 67.3492000000 90 2024-01-10 23:29:30
